author_id,proc_id
a_156081,1950365
a_156081,2155620
a_156081,2254064
a_156930,1082473
a_157356,74333
a_157356,383259
a_157356,1186822
a_158029,1277741
a_158131,1874620
a_159007,1124772
a_159007,1240624
a_159034,73141
a_159120,2380116
a_159120,2501988
a_159120,2540930
a_159229,1070432
a_159229,1150402
a_159229,1516360
a_159527,142750
a_159527,169059
a_159873,1569901
a_160175,1460563
a_160342,1250734
a_160499,304182
a_161438,223784
a_161438,253260
a_161438,276304
a_16331,302405
a_163315,1287853
a_163733,325164
a_163750,1375581
a_16395,1029632
a_16395,1054972
a_16395,1056808
a_16395,1124772
a_16395,1133265
a_164061,1837274
a_164061,2133429
a_164482,258549
a_164482,1168987
a_1646,139669
a_1646,165123
a_164874,15922
a_164874,133994
a_164874,1399504
a_165272,1179352
a_165272,1186822
a_165513,2307636
a_165513,2348543
a_165513,2486001
a_165513,2500423
a_16625,169627
a_167673,1386790
a_167983,139669
a_167983,325164
a_168059,1837274
a_168059,1870926
a_168059,2039370
a_168065,1111037
a_168065,1375581
a_168852,2380116
a_169130,139669
a_169130,325164
a_169352,277044
a_169352,337292
a_169352,602902
a_169842,2001576
a_169948,1247480
a_169968,344779
a_170045,502585
a_170045,1076034
a_171333,1772690
a_171333,1835804
a_171367,1194816
a_171512,378239
a_171512,774861
a_171512,859618
a_171512,871506
a_171512,968879
a_171537,1179352
a_171537,1399504
a_171950,998680
a_172394,860575
a_172394,1160633
a_17241,192844
a_17241,266838
a_172785,1135777
a_172785,1242572
a_172801,224170
a_173643,139669
a_173643,165123
a_173643,223982
a_173683,1282380
a_174253,1753326
a_174253,2038558
a_174253,2145204
a_174592,1391469
a_174592,1870926
a_174592,2024724
a_17483,266800
a_17483,859618
a_17483,1069807
a_174980,1882291
a_174980,2337223
a_174980,2351676
a_174980,2486788
a_174980,2491956
a_17504,38765
a_17504,74877
a_175613,1066157
a_175917,958491
a_176046,1950365
a_176117,97444
a_177421,28697
a_180362,142750
a_180362,347642
a_180362,365024
a_180362,765891
a_180362,985692
a_180362,1056808
a_180362,1124772
a_180362,1240624
a_180362,1294211
a_18145,958491
a_18145,1031495
a_18145,1322263
a_181472,1250734
a_181472,1542476
a_181472,1555754
a_18172,139669
a_18172,191995
a_18255,503376
a_183064,1179352
a_183064,1399504
a_183064,1576246
a_183064,1661412
a_183156,2540930
a_183674,258915
a_184330,2556288
a_184370,1572532
a_184384,1186562
a_184549,2388996
a_18472,339492
a_184781,1180639
a_184781,1291233
a_18504,985692
a_185922,1753326
a_186175,581339
a_186297,1031607
a_187137,2556288
a_187370,122718
a_187370,344779
a_187370,364338
a_187370,383259
a_18820,1186562
a_18820,1576246
a_18820,1833349
a_188289,143457
a_188289,192844
a_188731,1282380
a_188731,1402958
a_188736,1248820
a_188798,1186562
a_189032,1133981
a_189032,1810479
a_189064,1120212
a_189109,1186562
a_189109,1186822
a_18921,988672
a_189241,1277741
a_189241,1298306
a_189541,318372
a_189809,846276
a_189809,1275808
a_189809,1399504
a_190510,1028788
a_190900,872757
a_190900,1142473
a_191117,1874620
a_191254,1276958
a_191412,1884643
a_191412,2254756
a_191622,337292
a_191996,775832
a_192164,191995
a_193307,1266366
a_193307,1278480
a_193346,1840845
a_193423,762761
a_194306,1287853
a_194809,863955
a_194851,2484313
a_195191,846276
